model,dataset,horizon,seed,seq_len,validation_mse,validation_mae,test_mse,test_mae,quality,duration_seconds,result_source
SMamba,weather,720,2021,336,0.6504919821643653,0.4505707296564131,0.3223237097263336,0.33772581815719604,valid,70.942,q2_same_protocol_local_run
MSGNet,ETTh1,96,2021,336,0.8368388955650385,0.6263044952316917,0.42628225684165955,0.4446026682853699,valid,39.566,q2_same_protocol_local_run
MSGNet,ETTh1,192,2021,336,1.0556353056195855,0.6984071126116175,0.45442795753479004,0.4648325741291046,valid,32.552,q2_same_protocol_local_run
MSGNet,ETTh1,336,2021,336,1.315788796716501,0.7901462816831054,0.4729035496711731,0.47352248430252075,valid,57.374,q2_same_protocol_local_run
MSGNet,ETTh1,720,2021,336,1.5382369964967901,0.8761969549021984,0.5168720483779907,0.5090553760528564,valid,27.437,q2_same_protocol_local_run
MSGNet,ETTh2,96,2021,336,0.2681758179770195,0.3698268869671851,0.3709297478199005,0.41339126229286194,valid,95.327,q2_same_protocol_local_run
MSGNet,ETTh2,192,2021,336,0.3432668406138896,0.4064193373056272,0.4026091396808624,0.43221840262413025,valid,77.579,q2_same_protocol_local_run
MSGNet,ETTh2,336,2021,336,0.45451633596172386,0.4678810342016534,0.38239365816116333,0.42354029417037964,valid,75.175,q2_same_protocol_local_run
MSGNet,ETTh2,720,2021,336,0.6273881379981664,0.5669906144469877,0.45346423983573914,0.46422678232192993,valid,86.444,q2_same_protocol_local_run
MSGNet,ETTm1,96,2021,336,0.4089660318590669,0.4275434604083124,0.3082214295864105,0.36307770013809204,valid,121.775,q2_same_protocol_local_run
MSGNet,ETTm1,192,2021,336,0.5265026439310483,0.48236890787178566,0.3492702841758728,0.38760700821876526,valid,114.163,q2_same_protocol_local_run
MSGNet,ETTm1,336,2021,336,0.6549686438114235,0.5433909974098742,0.39161205291748047,0.414266973733902,valid,118.078,q2_same_protocol_local_run
MSGNet,ETTm1,720,2021,336,0.9669560088073764,0.6566027663276236,0.4330809712409973,0.44090980291366577,valid,115.817,q2_same_protocol_local_run
MSGNet,ETTm2,96,2021,336,0.13506422354229244,0.2565945658833332,0.1860031932592392,0.2706146538257599,valid,277.456,q2_same_protocol_local_run
MSGNet,ETTm2,192,2021,336,0.1739410669040819,0.29236585971070056,0.24047012627124786,0.31151553988456726,valid,224.473,q2_same_protocol_local_run
MSGNet,ETTm2,336,2021,336,0.23392885436943972,0.33498532717360596,0.2960842251777649,0.34655991196632385,valid,276.709,q2_same_protocol_local_run
MSGNet,ETTm2,720,2021,336,0.29437147077241665,0.3709120544348113,0.3909073770046234,0.4009270966053009,valid,223.033,q2_same_protocol_local_run
MSGNet,weather,96,2021,336,0.41185466571249446,0.2910259010531988,0.162434384226799,0.21755529940128326,valid,409.213,q2_same_protocol_local_run
MSGNet,weather,192,2021,336,0.4757794277979538,0.343254944314418,0.21147815883159637,0.25963330268859863,valid,537.499,q2_same_protocol_local_run
MSGNet,weather,336,2021,336,0.541301701877454,0.3854457075812267,0.25723540782928467,0.2916165292263031,valid,279.608,q2_same_protocol_local_run
MSGNet,weather,720,2021,336,0.6417072085787152,0.44976553968947897,0.36962395906448364,0.36239197850227356,valid,529.854,q2_same_protocol_local_run
TimeRole,ETTh1,96,2021,336,0.6796545700995527,0.5511192470980045,0.3682802617549896,0.39763304591178894,valid,,reused_frozen_cmrhm
TimeRole,ETTh1,192,2021,336,0.9674951401044615,0.6542039133967089,0.41641029715538025,0.42609861493110657,valid,,reused_frozen_cmrhm
TimeRole,ETTh1,336,2021,336,1.2407336796610835,0.7487637921849732,0.46615391969680786,0.44759824872016907,valid,,reused_frozen_cmrhm
TimeRole,ETTh1,720,2021,336,1.4783041114168558,0.8320478836189246,0.467281699180603,0.46540719270706177,valid,,reused_frozen_cmrhm
TimeRole,ETTh2,96,2021,336,0.22354715230210762,0.3241795530316768,0.2812073230743408,0.341083288192749,valid,,reused_frozen_cmrhm
TimeRole,ETTh2,192,2021,336,0.2856166419296563,0.37020302318746,0.3399837017059326,0.3865271210670471,valid,,reused_frozen_cmrhm
TimeRole,ETTh2,336,2021,336,0.3720096486627712,0.42088072023151724,0.3724833130836487,0.4100472629070282,valid,,reused_frozen_cmrhm
TimeRole,ETTh2,720,2021,336,0.6387785043948504,0.562516993706755,0.4337161183357239,0.45506444573402405,valid,,reused_frozen_cmrhm
TimeRole,ETTm1,96,2021,336,0.36555982886844346,0.398636661876151,0.2950538992881775,0.3487284481525421,valid,,reused_frozen_cmrhm
TimeRole,ETTm1,192,2021,336,0.48078013696058786,0.46060922740324106,0.3318106532096863,0.3740169107913971,valid,,reused_frozen_cmrhm
TimeRole,ETTm1,336,2021,336,0.6224400361064324,0.5233821398832569,0.3705420196056366,0.3950028717517853,valid,,reused_frozen_cmrhm
TimeRole,ETTm1,720,2021,336,0.9400004502334256,0.6397543385814374,0.42354199290275574,0.42606303095817566,valid,,reused_frozen_cmrhm
TimeRole,ETTm2,96,2021,336,0.12291466004130268,0.24302524385196883,0.17185743153095245,0.26104092597961426,valid,,reused_frozen_cmrhm
TimeRole,ETTm2,192,2021,336,0.1616830469834837,0.2776145029683509,0.22510570287704468,0.2954224646091461,valid,,reused_frozen_cmrhm
TimeRole,ETTm2,336,2021,336,0.21440705809129573,0.3208749137249369,0.2914232611656189,0.3407357335090637,valid,,reused_frozen_cmrhm
TimeRole,ETTm2,720,2021,336,0.2786508198134717,0.35967733572065547,0.37522217631340027,0.38984760642051697,valid,,reused_frozen_cmrhm
TimeRole,weather,96,2021,336,0.38365025392422214,0.2691728420709505,0.1462111473083496,0.1966434121131897,valid,,reused_frozen_cmrhm
TimeRole,weather,192,2021,336,0.4499114554469259,0.31155879198507336,0.1877095252275467,0.23579229414463043,valid,,reused_frozen_cmrhm
TimeRole,weather,336,2021,336,0.5303996194792506,0.36951107262853533,0.24200038611888885,0.278119295835495,valid,,reused_frozen_cmrhm
TimeRole,weather,720,2021,336,0.6444935399453787,0.4406900181635795,0.31817513704299927,0.33138200640678406,valid,,reused_frozen_cmrhm
