factor,dataset,horizon,seed,seq_len,recent_len,pool,mse,mae,parameter_count,record
pool,ETTm1,720,2023,336,96,8,0.9374720966356271,0.6389813329823315,6836397,/home/cwh/Time-Series-Library/logs/timerole_p0/sensitivity/records/sensitivity_pool_ettm1_h720_l336_r96_p8_s2023.json
pool,ETTm1,720,2023,336,96,24,0.9393842860859306,0.6401340837535665,6835757,/home/cwh/Time-Series-Library/logs/timerole_p0/sensitivity/records/sensitivity_pool_ettm1_h720_l336_r96_p24_s2023.json
recent,ETTm2,96,2023,336,48,16,0.12459634688070222,0.24543272182794118,555597,/home/cwh/Time-Series-Library/logs/timerole_p0/sensitivity/records/sensitivity_recent_ettm2_h96_l336_r48_p16_s2023.json
recent,ETTm2,96,2023,336,192,16,0.12189659112690016,0.24092650143717856,1900845,/home/cwh/Time-Series-Library/logs/timerole_p0/sensitivity/records/sensitivity_recent_ettm2_h96_l336_r192_p16_s2023.json
pool,ETTm2,96,2023,336,96,8,0.1283396979194141,0.2458809219897756,1004493,/home/cwh/Time-Series-Library/logs/timerole_p0/sensitivity/records/sensitivity_pool_ettm2_h96_l336_r96_p8_s2023.json
pool,ETTm2,96,2023,336,96,24,0.12803640355862117,0.24589195671808947,1003853,/home/cwh/Time-Series-Library/logs/timerole_p0/sensitivity/records/sensitivity_pool_ettm2_h96_l336_r96_p24_s2023.json
recent,ETTm2,720,2023,336,48,16,0.28667025680176816,0.36887759493581945,3482157,/home/cwh/Time-Series-Library/logs/timerole_p0/sensitivity/records/sensitivity_recent_ettm2_h720_l336_r48_p16_s2023.json
recent,ETTm2,720,2023,336,192,16,0.2699383588505409,0.3595121781826997,13543437,/home/cwh/Time-Series-Library/logs/timerole_p0/sensitivity/records/sensitivity_recent_ettm2_h720_l336_r192_p16_s2023.json
pool,ETTm2,720,2023,336,96,8,0.2758293895069538,0.35898170656470757,6836397,/home/cwh/Time-Series-Library/logs/timerole_p0/sensitivity/records/sensitivity_pool_ettm2_h720_l336_r96_p8_s2023.json
pool,ETTm2,720,2023,336,96,24,0.27701510988083666,0.3602975780455504,6835757,/home/cwh/Time-Series-Library/logs/timerole_p0/sensitivity/records/sensitivity_pool_ettm2_h720_l336_r96_p24_s2023.json
