dataset,horizon,variant,variant_label,seed,validation_best_mse,validation_best_mae,test_mse,test_mae,result_source,test_access
ETTm2,96,no_graph,w/o Graph,2023,0.1242414073123278,0.24229702504038675,0.17623646558417969,0.26454432164429004,,one_shot_after_validation_selection
ETTm2,192,full,TimeRole (Full),2021,0.1616830469834837,0.2776145029683509,0.22510570287704468,0.2954224646091461,protocol_matched_frozen_record,reused_frozen_test_record
ETTm2,192,full,TimeRole (Full),2022,0.1621488589341838,0.27679804516085954,0.22604960203170776,0.2954574227333069,protocol_matched_frozen_record,reused_frozen_test_record
ETTm2,192,full,TimeRole (Full),2023,0.16810182122207035,0.28369089118914514,0.24109826982021332,0.3089996576309204,protocol_matched_frozen_record,reused_frozen_test_record
ETTm2,192,no_dhc,w/o DHC,2021,0.16899244106427846,0.28261843127676095,0.24254271388053894,0.3018312156200409,protocol_matched_frozen_record,reused_frozen_test_record
ETTm2,192,no_dhc,w/o DHC,2022,0.17064223934307934,0.2836947730659957,0.24616065621376038,0.30518609285354614,protocol_matched_frozen_record,reused_frozen_test_record
ETTm2,192,no_dhc,w/o DHC,2023,0.1843476057141803,0.2948056079549958,0.30538323521614075,0.33442988991737366,protocol_matched_frozen_record,reused_frozen_test_record
ETTm2,192,no_decomp,w/o Decomposition,2021,0.1672905170475917,0.28229784859789164,0.23494447754875794,0.30388719193382985,,one_shot_after_validation_selection
ETTm2,192,no_decomp,w/o Decomposition,2022,0.1652851540307287,0.28211109492973685,0.2290802393705429,0.30185426121870756,,one_shot_after_validation_selection
ETTm2,192,no_decomp,w/o Decomposition,2023,0.16427788626545436,0.2796651484197044,0.22962101874333804,0.3003164585334109,,one_shot_after_validation_selection
ETTm2,192,no_patch,w/o Patch,2021,0.167200394561128,0.2834396085052107,0.23341088636733343,0.30328389316948456,,one_shot_after_validation_selection
ETTm2,192,no_patch,w/o Patch,2022,0.16590518477533173,0.28260511121539866,0.24652110026439703,0.3094054181263638,,one_shot_after_validation_selection
ETTm2,192,no_patch,w/o Patch,2023,0.16515011308370675,0.2797579966329448,0.23110181572164615,0.299792913008029,,one_shot_after_validation_selection
ETTm2,192,no_mamba,w/o Mamba,2021,0.16226311664507861,0.27787475217469965,0.23299051156329476,0.29991969144935243,,one_shot_after_validation_selection
ETTm2,192,no_mamba,w/o Mamba,2022,0.1624223812801075,0.27887192058432153,0.2331959317604758,0.3017265744199248,,one_shot_after_validation_selection
ETTm2,192,no_mamba,w/o Mamba,2023,0.16188184590932508,0.2780987831427333,0.23368585998861102,0.3008295777483301,,one_shot_after_validation_selection
ETTm2,192,no_graph,w/o Graph,2021,0.16462911148653814,0.28145816813994057,0.2295371462416522,0.29939221660572213,,one_shot_after_validation_selection
ETTm2,192,no_graph,w/o Graph,2022,0.16806773575168338,0.2844630462390385,0.24479500825474199,0.3125886153401953,,one_shot_after_validation_selection
ETTm2,192,no_graph,w/o Graph,2023,0.16446340802461354,0.28121282061138986,0.2312792425908569,0.30161053122736703,,one_shot_after_validation_selection
ETTm2,336,full,TimeRole (Full),2021,0.21440705809129573,0.3208749137249369,0.2914232611656189,0.3407357335090637,protocol_matched_frozen_record,reused_frozen_test_record
ETTm2,336,full,TimeRole (Full),2022,0.2081380847196144,0.3162799386184472,0.28249654173851013,0.3350311517715454,protocol_matched_frozen_record,reused_frozen_test_record
ETTm2,336,full,TimeRole (Full),2023,0.20535111818780546,0.3119037748413025,0.2816605865955353,0.3316524922847748,protocol_matched_frozen_record,reused_frozen_test_record
ETTm2,336,no_dhc,w/o DHC,2021,0.22578487681786574,0.32702781782555446,0.30957069993019104,0.3478167653083801,protocol_matched_frozen_record,reused_frozen_test_record
ETTm2,336,no_dhc,w/o DHC,2022,0.2200152039103387,0.32500945227411343,0.30705103278160095,0.3475516438484192,protocol_matched_frozen_record,reused_frozen_test_record
ETTm2,336,no_dhc,w/o DHC,2023,0.21856628866954556,0.32145367231499494,0.3039821982383728,0.3423004746437073,protocol_matched_frozen_record,reused_frozen_test_record
ETTm2,336,no_decomp,w/o Decomposition,2021,0.2082194593968287,0.31695704336352193,0.2870312348488172,0.33929501443549315,,one_shot_after_validation_selection
ETTm2,336,no_decomp,w/o Decomposition,2022,0.2074133429518974,0.3144197361957048,0.2902446958454118,0.3394746361530405,,one_shot_after_validation_selection
ETTm2,336,no_decomp,w/o Decomposition,2023,0.2067049854353237,0.3133107575920749,0.28505542615422114,0.33541616637880495,,one_shot_after_validation_selection
ETTm2,336,no_patch,w/o Patch,2021,0.2053532132940329,0.3126468160194132,0.2805255095269836,0.3322483267852605,,one_shot_after_validation_selection
ETTm2,336,no_patch,w/o Patch,2022,0.21237040010832262,0.3169219004891784,0.3042829431505259,0.34705329770128535,,one_shot_after_validation_selection
ETTm2,336,no_patch,w/o Patch,2023,0.2104940151903565,0.3169480640186478,0.2852747521096475,0.336061855073004,,one_shot_after_validation_selection
