model,dataset,horizon,n_seeds,seeds,quality,diverged_seeds,test_mse_mean,test_mse_std,mse_rank,test_mae_mean,test_mae_std,mae_rank
SMamba,ETTm2,96,3,2021;2022;2023,valid,,0.17881872753302255,0.001425023011660359,5,0.27006906270980835,0.0015075620777773176,5
MSGNet,ETTm2,96,3,2021;2022;2023,valid,,0.18775623043378195,0.0015227220694342945,7,0.27277201414108276,0.0020419024989615153,7
TimeRole,ETTm2,96,3,2021;2022;2023,valid,,0.17571790516376495,0.003674973554531198,4,0.26407506068547565,0.003068437621395705,3
DLinear,ETTm2,192,3,2021;2022;2023,valid,,0.22933052480220795,0.004699970062348336,1,0.3089936375617981,0.0060682627027586365,4
PatchTST,ETTm2,192,3,2021;2022;2023,valid,,0.23632323245207468,0.00230429479401304,4,0.30894336104393005,0.0033797832832026873,3
iTransformer,ETTm2,192,3,2021;2022;2023,valid,,0.2427393247683843,0.004545826376401639,8,0.3120888868967692,0.0025793255411064556,8
TimeMixer,ETTm2,192,3,2021;2022;2023,valid,,0.23006277779738107,0.0027404635297111316,2,0.301021933555603,0.002618998428151186,2
TimesNet,ETTm2,192,3,2021;2022;2023,valid,,0.24002301196257272,0.006906543352486676,6,0.31107763449350995,0.00423632691163748,6
SMamba,ETTm2,192,3,2021;2022;2023,valid,,0.23660633464654288,0.003980200933242815,5,0.31012363235155743,0.0037415977039470575,5
MSGNet,ETTm2,192,3,2021;2022;2023,valid,,0.2418562869230906,0.0019383949334285998,7,0.31109612186749774,0.0007010060925550029,7
TimeRole,ETTm2,192,3,2021;2022;2023,valid,,0.23075119157632193,0.00897325233917176,3,0.2999598483244578,0.007828724017393714,1
DLinear,ETTm2,336,3,2021;2022;2023,valid,,0.30223305026690167,0.015544658604579051,7,0.3632074296474457,0.014680170917889205,8
PatchTST,ETTm2,336,3,2021;2022;2023,valid,,0.30844224492708844,0.024637258051991247,8,0.3571324050426483,0.015156672598363298,7
iTransformer,ETTm2,336,3,2021;2022;2023,valid,,0.2988182504971822,0.0027456489464500406,4,0.3477079967657725,0.0013810149053990826,4
TimeMixer,ETTm2,336,3,2021;2022;2023,valid,,0.28040029605229694,0.003573168837225959,1,0.33491400877634686,0.0034481384910051184,1
TimesNet,ETTm2,336,3,2021;2022;2023,valid,,0.30215831597646076,0.004883318246479686,6,0.3512428005536397,0.002280856849090272,6
SMamba,ETTm2,336,3,2021;2022;2023,valid,,0.2838395933310191,0.0018003522580881518,2,0.33915863434473675,0.00039948726930606927,3
MSGNet,ETTm2,336,3,2021;2022;2023,valid,,0.30173125863075256,0.00937596155702835,5,0.34926682710647583,0.006239481075149541,5
TimeRole,ETTm2,336,3,2021;2022;2023,valid,,0.28519346316655475,0.005411330019701633,3,0.3358064591884613,0.004590985077050361,2
DLinear,ETTm2,720,3,2021;2022;2023,valid,,0.4213564693927765,0.009790282770949253,7,0.43907928466796875,0.008514910513853606,8
PatchTST,ETTm2,720,3,2021;2022;2023,valid,,0.3953542113304138,0.010987393676003172,5,0.40760483344395954,0.0072055769022766536,6
iTransformer,ETTm2,720,3,2021;2022;2023,valid,,0.3770070970058441,0.002787670637346114,4,0.39479204018910724,0.001486484347574855,4
TimeMixer,ETTm2,720,3,2021;2022;2023,valid,,0.3636549711227417,0.0035884150901958093,1,0.38712141911188763,0.0008170630470458834,1
TimesNet,ETTm2,720,3,2021;2022;2023,valid,,0.43634140491485596,0.05748708122551164,8,0.42115533351898193,0.025809047882260995,7
SMamba,ETTm2,720,3,2021;2022;2023,valid,,0.374740203221639,0.0013857401331102033,2,0.3942184050877889,0.0013164144482378562,3
